department	folio_name
Administración de Recursos Físicos	Administración de Recursos Físicos
Biblioteca	Biblioteca
Bienestar Institucional	Bienestar Institucional
CAD	CAD
Centro de Educación Virtual	Centro de Educación Virtual
Centro de Idiomas	Centro de Idiomas
Centro Interdisciplinario de Estudios Humanísticos - CIDEH	Centro Interdisciplinario de Estudios Humanísticos - CIDEH
Cideh	Cideh
Comunicaciones y Mercadeo	Comunicaciones y Mercadeo
Consultorio Jurídico	Consultorio Jurídico
CPP	CPP
Compras y Suministros	Compras y Suministros
Escuela de Deporte	Escuela de Deporte
Facultad de Ciencias Económicas	Facultad de Ciencias Económicas
Departamento de Recursos Físicos	Departamento de Recursos Físicos
Departamento de Gestión Financiera	Departamento de Gestión Financiera
Departamento de Mercadeo y Comunicaciones	Departamento de Mercadeo y Comunicaciones
Departamento de Talento Humano	Departamento de Talento Humano
Departamento de Tecnología	Departamento de Tecnología
Dirección de Investigaciones	Dirección de Investigaciones
Dirección de Planeación	Dirección de Planeación
Dirección de Proyección Social y Extensión	Dirección de Proyección Social y Extensión
Editorial Bonaventuriana	Editorial Bonaventuriana
Educación Continua	Educación Continua
Egresados	Egresados
Facultad de Arquitectura, Arte y Diseño	Facultad de Arquitectura, Arte y Diseño
Facultad de Artes Integradas	Facultad de Artes Integradas
Facultad de Ciencias de la Salud	Facultad de Ciencias de la Salud
Facultad de Ciencias económicas y administrativas	Facultad de Ciencias económicas y administrativas
Facultad de Ciencias Empresariales	Facultad de Ciencias Empresariales
Facultad de Ciencias Humanas y Sociales	Facultad de Ciencias Humanas y Sociales
Facultad de Ciencias jurídicas y políticas	Facultad de Ciencias jurídicas y políticas
Facultad de Ciencias Sociales	Facultad de Ciencias Sociales
Facultad Derecho y Ciencias Políticas	Facultad Derecho y Ciencias Políticas
Facultad de Educación	Facultad de Educación
Facultad de Humanidades y Ciencias de la Educación	Facultad de Humanidades y Ciencias de la Educación
Facultad de Ingeniería	Facultad de Ingeniería
Facultad de Ingenierías	Facultad de Ingenierías
Facultad de Psicologia	Facultad de Psicología
Facultad de Psicología	Facultad de Psicología
Gestión Ambiental	Gestión Ambiental
Oficina de Gestión Estratégica de Ingresos	Oficina de Gestión Estratégica de Ingresos
Gestión Documental	Gestión Documental
HUB de Innovación y Transferencia del Conocimiento	HUB de Innovación y Transferencia del Conocimiento
Investigaciones	Investigaciones
Laboratorio Cocina Programa de Ciencias Culinarias y Gastronomía	Laboratorio Cocina Programa de Ciencias Culinarias y Gastronomía
Laboratorio de Biología	Laboratorio de Biología
Laboratorio de Investigaciones	Laboratorio de Investigaciones
Medios Audiovisuales	Medios Audiovisuales
Oficina de Relaciones Internacionales - ORI 	Oficina de Relaciones Internacionales - ORI
Rectoría	Rectoría
Registro Académico	Registro Académico
Secretaría General	Secretaría General
Talento Humano	Talento Humano
Tecnología y Soporte	Tecnología y Soporte
Unidad de Biblioteca y Editorial	Unidad de Biblioteca y Editorial
Unidad Financiera	Unidad Financiera
Vicerrectoría Académica	Vicerrectoría Académica
Vicerrectoría Administrativa y Financiera	Vicerrectoría Administrativa y Financiera
Vicerrectoría para la Identidad y el Bienestar Institucional	Vicerrectoría para la Identidad y el Bienestar Institucional
Facultad de Arquitectura, Artes y Diseño	Facultad de Arquitectura, Artes y Diseño
Facultad de Ciencias Administrativas y Contables	Facultad de Ciencias Administrativas y Contables
Facultad de Derecho y Ciencias Políticas	Facultad de Derecho y Ciencias Políticas
*	Default